"","id","text","lang","author_id","created_at","clean_text"
"83","1581339728242040832","President Museveni: I have come for the 3rd time to talk to you about Ebola that we have in the districts of Mubende, Kyegegwa, Kassanda, Kagadi, and Bunyangabu.

We now have a total of 58 confirmed cases and 19 deaths.

#M7Address https://t.co/wmQo0HHeLT","en","1548481578556276741","2022-10-15T17:42:25.000Z","president museveni i have come for the rd time to talk to you about ebola that we have in the districts of mubende kyegegwa kassanda kagadi and bunyangabu  we now have a total ofconfirmed cases anddeaths  maddress"
"84","1581339687524106242","@wickdchiq @AfricaCDC So maddeningly frustrating. African disease experts have experience dealing with diseases like ebola that we can't match.","en","175530941","2022-10-15T17:42:16.000Z","so maddeningly frustrating african disease expes have experience dealing with diseases like ebola that we cant match"
"85","1581339679680389120","President Museveni: I have come for the 3rd time to talk to you about Ebola that we have in the districts of Mubende, Kyegegwa, Kassanda, Kagadi, and Bunyangabu.

We now have a total of 58 confirmed cases and 19 deaths.

#M7Address https://t.co/qKND8ujjXf","en","1130437626337648640","2022-10-15T17:42:14.000Z","president museveni i have come for the rd time to talk to you about ebola that we have in the districts of mubende kyegegwa kassanda kagadi and bunyangabu  we now have a total ofconfirmed cases anddeaths  maddress"
"86","1581339658554068992","Ebola Curfew in Mubende","en","1453101938615197705","2022-10-15T17:42:09.000Z","ebola curfew in mubende"
"87","1581339649590501378","President Museveni: I have come for the 3rd time to talk to you about Ebola that we have in the districts of Mubende, Kyegegwa, Kassanda, Kagadi, and Bunyangabu.

We now have a total of 58 confirmed cases and 19 deaths. https://t.co/9PvmnKvMOe","en","1577562150368940032","2022-10-15T17:42:06.000Z","president museveni i have come for the rd time to talk to you about ebola that we have in the districts of mubende kyegegwa kassanda kagadi and bunyangabu  we now have a total ofconfirmed cases anddeaths"
"88","1581339622558158849","President Museveni: I have come for the 3rd time to talk to you about Ebola that we have in the districts of Mubende, Kyegegwa, Kassanda, Kagadi, and Bunyangabu.

We now have a total of 58 confirmed cases and 19 deaths.

#M7Address https://t.co/Uvmg3PPm92","en","1296781235054940160","2022-10-15T17:42:00.000Z","president museveni i have come for the rd time to talk to you about ebola that we have in the districts of mubende kyegegwa kassanda kagadi and bunyangabu  we now have a total ofconfirmed cases anddeaths  maddress"
"89","1581339605533499392","$CEMI. Buy under .40 on Monday. Current market cap is $9M. Cash on hand $18M.

✅ Dual Covid/Flu Test
✅ Dual HIV-SYPHILIS Test
      $4 billion market.
✅  Developing Monkey POX Test
       With N.I.H. Guidance.
✅  Rapid Ebola Test
      
Next p.r. could triple the share price. https://t.co/XhuvqQ6NW3 https://t.co/gQCSkkrJ7B","en","50463387","2022-10-15T17:41:56.000Z","cemi buy underon monday current market cap is m cash on hand m  dual covidflu test  dual hivsyphilis test billion market  developing monkey pox test  with nih guidance  rapid ebola test   next pr could triple the share price"
"90","1581339587297054720","Ebola is spreading faster and faster . No vaccine or cure found yet.","en","2906281284","2022-10-15T17:41:52.000Z","ebola is spreading faster and fasterno vaccine or cure found yet"
"91","1581339567227277312","President Museveni: I have come for the 3rd time to talk to you about Ebola that we have in the districts of Mubende, Kyegegwa, Kassanda, Kagadi, and Bunyangabu.

We now have a total of 58 confirmed cases and 19 deaths.

#M7Address https://t.co/cLC2O9yrAK","en","1059692462321623041","2022-10-15T17:41:47.000Z","president museveni i have come for the rd time to talk to you about ebola that we have in the districts of mubende kyegegwa kassanda kagadi and bunyangabu  we now have a total ofconfirmed cases anddeaths  maddress"
"92","1581339551200858113","Ebola Update: Movement from Kasanda to Mubende and vice versa prohibited - President @KagutaMuseveni","en","403563397","2022-10-15T17:41:43.000Z","ebola update movement from kasanda to mubende and vice versa prohibitedpresident"
"93","1581339540253384704","UGANDA'S PRESIDENT MUSEVENI: MOVEMENT OUT OF AND INTO TWO DISTRICTS IMPACTED BY EBOLA IS PROHIBITED #News #Forex #PRESIDENT","en","1312246113244794881","2022-10-15T17:41:40.000Z","ugandas president museveni movement out of and into two districts impacted by ebola is prohibited news forex president"
"94","1581339526647074817","BREAKING NEWS
President Museveni has banned movement to and from Mubende and Kasanda Districts due to the outbreak of #Ebola 
#News247 @News247Ug https://t.co/gc66tIJQE3","en","436677460","2022-10-15T17:41:37.000Z","breaking news president museveni has banned movement to and from mubende and kasanda districts due to the outbreak of ebola  news"
"95","1581339494820679680","The Directives from the president to contain Ebola in the Country.
1. Movements into and out of Mubende and Kasanda Districts are prohibited.
2. Movement from Kasanda to Mubende and viceversa is prohibited. - @KagutaMuseveni 
#M7Address 
#News247","en","1445467077179895817","2022-10-15T17:41:30.000Z","the directives from the president to contain ebola in the country  movements into and out of mubende and kasanda districts are prohibited  movement from kasanda to mubende and viceversa is prohibited maddress  news"
"96","1581339479586983937","Don’t attempt to move in/out Mubende and Kassanda, he says. Stay there.

(first case of Ebola was reported in Mubende)","en","274925909","2022-10-15T17:41:26.000Z","dont attempt to move inout mubende and kassanda he says stay there  first case of ebola was repoed in mubende"
"97","1581339473690128385","@_cosmosairdrops @EvmosDomains 4 $EVD for every evmos stakers","en","1402197088411308032","2022-10-15T17:41:25.000Z","evd for every evmos stakers"
"98","1581339462004400128","#EbolaOutbreak: President Museveni says, ""I have come for the 3rd time to talk to you about #Ebola that we have in the districts of Mubende, Kyegegwa, Kassanda, Kagadi, and Bunyangabu.""
#ChimpReportsNews #M7Address @MinofHealthUG
Details: https://t.co/tJVJsCb9CX https://t.co/qPrmaBiK0P","en","388368711","2022-10-15T17:41:22.000Z","ebolaoutbreak president museveni says i have come for the rd time to talk to you about ebola that we have in the districts of mubende kyegegwa kassanda kagadi and bunyangabu chimpreposnews maddress  details"
"99","1581339440160870400","Restrictions introduced in Uganda to combat the spread of #ebola https://t.co/Nmr0rYfQl4","en","1580958796670566404","2022-10-15T17:41:17.000Z","restrictions introduced in uganda to combat the spread of ebola"
"100","1581339411169808384","@nbstv Is there ebola in uganda?or he just wanted to putting pressure and fears all of the world because hhe wanted money from European countries 🤔","en","1576262088619692033","2022-10-15T17:41:10.000Z","is there ebola in ugandaor he just wanted to putting pressure and fears all of the world because hhe wanted money from european countries"
